angle_id,angle_name,audience,landing,primary_text,headline,description,image
consulta-placa,Desejo — consulta automática de placa,Vistoriadores / operações,https://danosaparentes.com.br/blog/consulta-automatica-de-placa,Consulta automática de placa inclusa. 7 dias grátis pra testar.,Vistoria sem redigitar,Comece agora,https://danosaparentes.com.br/ads/impact/consulta-placa-1200x628.jpg?v=20260719b
avarias-preexistentes,Prova — avarias preexistentes,Locadoras / frotas,https://danosaparentes.com.br/blog/avarias-preexistentes-como-provar,"Quando o cliente diz que o risco já existia, só a prova encerra. Registre de forma clara, comparável e com hash.",Prove a avaria preexistente,7 dias grátis,https://danosaparentes.com.br/ads/impact/avarias-preexistentes-1200x628.jpg?v=20260719b
avarias-preexistentes,Prova — avarias preexistentes,Locadoras / frotas,https://danosaparentes.com.br/blog/avarias-preexistentes-como-provar,Avaria preexistente sem registro vira prejuízo seu. Laudo digital muda o jogo.,Registro claro e com hash,Laudo no celular,https://danosaparentes.com.br/ads/impact/avarias-preexistentes-1200x628.jpg?v=20260719b
avarias-preexistentes,Prova — avarias preexistentes,Locadoras / frotas,https://danosaparentes.com.br/blog/avarias-preexistentes-como-provar,Prove o dano preexistente. 7 dias grátis no Danos Aparentes.,Fim do prejuízo oculto,Teste o Pro,https://danosaparentes.com.br/ads/impact/avarias-preexistentes-1200x628.jpg?v=20260719b
sem-papel,Desejo — vistoria sem papel,Operações / frotas,https://danosaparentes.com.br/blog/vistoria-sem-papel,"Prancheta, carbonada e planilha já não dão conta. Fotos, assinatura e PDF no mesmo fluxo — no celular.",Vistoria sem prancheta,7 dias grátis,https://danosaparentes.com.br/ads/impact/sem-papel-1200x628.jpg?v=20260719b
sem-papel,Desejo — vistoria sem papel,Operações / frotas,https://danosaparentes.com.br/blog/vistoria-sem-papel,"Papel molha, some e vira retrabalho. Vistoria digital não.",Laudo digital no celular,Offline no pátio,https://danosaparentes.com.br/ads/impact/sem-papel-1200x628.jpg?v=20260719b
sem-papel,Desejo — vistoria sem papel,Operações / frotas,https://danosaparentes.com.br/blog/vistoria-sem-papel,Saia da prancheta. 7 dias grátis no Danos Aparentes.,Adeus papel no pátio,Teste agora,https://danosaparentes.com.br/ads/impact/sem-papel-1200x628.jpg?v=20260719b
qr-hash,Prova — QR Code e hash,Locadoras / seguros / peritos,https://danosaparentes.com.br/blog/qr-code-e-hash-no-laudo-de-avarias,Laudo sem trilha de autenticidade é fácil de questionar. QR Code + hash reforçam o original e detectam alteração.,Laudo com QR e hash,Teste 7 dias,https://danosaparentes.com.br/ads/impact/qr-hash-1200x628.jpg?v=20260719b
qr-hash,Prova — QR Code e hash,Locadoras / seguros / peritos,https://danosaparentes.com.br/blog/qr-code-e-hash-no-laudo-de-avarias,Aponte o celular no QR e confira se o PDF é o original. Incluso em todo laudo.,Valide o PDF original,Incluso no Pro,https://danosaparentes.com.br/ads/impact/qr-hash-1200x628.jpg?v=20260719b
qr-hash,Prova — QR Code e hash,Locadoras / seguros / peritos,https://danosaparentes.com.br/blog/qr-code-e-hash-no-laudo-de-avarias,Validade que sustenta cobrança e sinistro. 7 dias grátis.,Anti-adulteração no laudo,Comece grátis,https://danosaparentes.com.br/ads/impact/qr-hash-1200x628.jpg?v=20260719b
frota-entrada-saida,Desejo — controle de frota,Gestores de frota,https://danosaparentes.com.br/blog/controle-avarias-frota-entrada-saida,Sinistro interno e gestor sem visão? Registre saída/entrada no mesmo padrão e tenha histórico auditável — com a marca da empresa.,Controle avarias na frota,7 dias grátis,https://danosaparentes.com.br/ads/impact/frota-entrada-saida-1200x628.jpg?v=20260719b
frota-entrada-saida,Desejo — controle de frota,Gestores de frota,https://danosaparentes.com.br/blog/controle-avarias-frota-entrada-saida,Planilha não segura disputa. Laudo padrão na frota segura.,Entrada e saída auditáveis,Para frotas,https://danosaparentes.com.br/ads/impact/frota-entrada-saida-1200x628.jpg?v=20260719b
frota-entrada-saida,Desejo — controle de frota,Gestores de frota,https://danosaparentes.com.br/blog/controle-avarias-frota-entrada-saida,Controle de avarias na frota. 7 dias grátis ou Corporativo sob medida.,Histórico sem planilha,Fale com a gente,https://danosaparentes.com.br/ads/impact/frota-entrada-saida-1200x628.jpg?v=20260719b
oferta-pro,Oferta — Plano Pro,Todos,https://danosaparentes.com.br/planos,"Vistoria veicular no celular: diagrama, fotos, assinatura e PDF com hash/QR. Offline no pátio. 7 dias grátis — depois R$49,90/mês com vistorias ilimitadas.",7 dias grátis de vistoria,Sem cartão no trial,https://danosaparentes.com.br/ads/impact/laudo-real-1200x628.jpg?v=20260719b
oferta-pro,Oferta — Plano Pro,Todos,https://danosaparentes.com.br/planos,Um laudo terceirizado já custa perto do Pro. Aqui as vistorias do mês são ilimitadas. Teste 7 dias grátis.,"Pro R$49,90 — ilimitado",Comece agora,https://danosaparentes.com.br/ads/impact/laudo-real-1200x628.jpg?v=20260719b
oferta-pro,Oferta — Plano Pro,Todos,https://danosaparentes.com.br/planos,"Locadora, oficina ou frota: padronize a vistoria e entregue laudo com a sua marca. Comece grátis.",Laudo digital com hash,Ver planos,https://danosaparentes.com.br/ads/impact/laudo-real-1200x628.jpg?v=20260719b
