score,company,domain,industry,size_band,country,signal,contact_name,contact_title,contact_email,email_status,phone,linkedin,source_urls,why_prospect,confidence,verified_date,notes
Warm,FM Frotas,fmfrotas.com.br,Locação caminhões / utilitários,20+ anos / MG,BR,Locação sem burocracia para PME,,Comercial,,não publicado,(31) 99943-1666,,https://fmfrotas.com/,Frota pesada/leve — checklist e fotos na entrega do veículo,Medium,2026-08-06,WhatsApp como canal principal
Warm,Via Valet,viavalet.com.br,Estacionamento / Valet,Grande SP,BR,Operação de garagens e manobristas desde 2013,,Comercial,,não publicado,(11) 5102-4642,,https://viavalet.com.br/,Mesmo perfil Madini/Ultravalet; disputas de arranhão em valet,High,2026-08-06,Telefone no rodapé
Warm,Implementos Bazoni,implementosbazoni.com.br,Funilaria / Frota pesada,~70 colaboradores,BR,Serviços para transporte e locação de equipamentos,,Comercial,,não verificado,,,https://implementosbazoni.com.br/sobre/,Oficina com volume e clientes logísticos — laudo pré/pós reparo,Medium,2026-08-06,Sem email público; usar formulário
Warm,Bial Funilaria,bialfunilaria.com.br,Funilaria caminhões,30+ anos / ABC-SP,BR,Atende seguradoras; pátio para veículo em manutenção,,Comercial,,não publicado,(11) 4475-7128,,http://www.bialfunilaria.com.br/,Documentação visual alinha oficina seguradora e frota,Medium,2026-08-06,Só telefone fixo publicado
Warm,Veneza Diesel,venezadiesel.com.br,Concessionária / Frota pesada,NE Brasil,BR,ISO 9001; boxes funilaria; treinamento a frotistas,,Pós-venda frota,,não verificado,,,https://www.venezadiesel.com.br/institucional/,Frota caminhão/ônibus — vistoria digital complementa pós-venda,Medium,2026-08-06,Mais enterprise; abordar pós-venda corporativo
Cold,Localiza Gestão de Frotas,frotas.localiza.com,Gestão frota enterprise,60k empresas / nacional,BR,Rede 12k+ oficinas; app MyFleet — stack digital maduro,,Comercial,,não verificado,,,https://frotas.localiza.com/,ICP amplo mas ciclo de venda longo; possível parceria canal vs cliente direto,High,2026-08-06,Priorizar parceria B2B2B não venda direta SME
Cold,Movida Empresas,movida.com.br,Locadora enterprise,Nacional,BR,Programa corporativo consolidado,,Comercial,,não verificado,,,https://www.movida.com.br/,Grande player — baixa probabilidade de adoção self-serve R$79,Medium,2026-08-06,Manter para parceria futura
Cold,Unidas Empresas,unidas.com.br,Locadora enterprise,Nacional,BR,Frota corporativa nacional,,Comercial,,não verificado,,,https://www.unidas.com.br/,Mesmo perfil Movida/Localiza,Medium,2026-08-06,Skip para outbound inicial
Cold,Arval Brasil,arval.com.br,Terceirização frota,Multinacional,BR,Portal corporativo estruturado,,Comercial,,não verificado,,,https://www.arval.com.br/,Enterprise; não prioridade para plano Pro self-serve,Medium,2026-08-06,Reavaliar se fechar 5+ locadoras SME
Warm,Sigma Park,sigmapark.com.br,Estacionamento / Valet,SP,BR,Operador regional de estacionamentos,,Comercial,,não verificado,(11) 4195-6084,,https://sigmapark.com.br/,Perfil valet/estacionamento; contato via telefone público,Medium,2026-08-06,Confirmar domínio e página ativa
Warm,D&D Park,ddpark.com.br,Estacionamento / Valet,SP,BR,Administração de estacionamentos,,Comercial,,não verificado,(11) 4624-4444,,https://ddpark.com.br/,Mesmo ICP Madini; sinal fraco,Medium,2026-08-06,Validar site antes do contato
Warm,Global Fleet,globalfleet.com.br,Gestão de frota,SP,BR,Consultoria e gestão de frotas,,Comercial,,não verificado,(11) 4083-2560,,https://globalfleet.com.br/,Intermediário — pode revender vistoria digital aos clientes,Medium,2026-08-06,Abordar como canal/revenda
