nome,email,localizacao,categoria,site,telefone
Pomerode Auto Center,pomerodeautocenter@gmail.com,"Rua XV de Novembro, 964 - Pomerode - SC",oficina/auto,,+55 47 3387-2391
Eletrovel,eletrovel.vendas@gmail.com,"Rua Maria Manchen de Souza, 460 - São José - SC",oficina/auto,https://oficinamecanicasaojose.com.br/,+55 48 3247-8517
Oficina Mecânica Florianópolis,eletrovel.vendas@gmail.com,"Rua Lídio Antônio de Mattos, 10 - São José - SC",oficina/auto,,+55 48 3247 8517
Auto Elétrica Lima,contato@disksc.com.br,"Rua Euclides Marinho, 452 - Xanxerê - SC",oficina/auto,http://www.disksc.com.br/xanxere/empresa/30703-auto_eletrica_lima,+55 49 9 8821 1458
Oficina Mecânica Tambosi,,SC,oficina/auto,,+55 47 3387-4455
Martelinho de Ouro,,SC,martelinho,,
Barulho Auto Center,,SC,oficina/auto,,
Eletropossenti,,"Rua do Gramal, 326 - SC",oficina/auto,,
Volkswagen Sapema,,SC,oficina/auto,,
Vigon Peças e Serviços,,SC,oficina/auto,,
Raupp Car,,SC,oficina/auto,,+55 48 3533 1715
Mecânica Junges,,SC,oficina/auto,,
Bacana Auto Mecanica,,SC,oficina/auto,,+55 47 3026 1425
PJ Kar,,SC,oficina/auto,,
Centro Automotivo Beira Mar Norte,,SC,oficina/auto,,
Mecânica de Veículos Pesados,,Avenida Alfredo Jacomo Scopel - SC,oficina/auto,,
Mecânica Alemãozinho,,SC,oficina/auto,,
Oficina Chinupa,,SC,oficina/auto,,
CA Auto Elétrica,,SC,oficina/auto,,
Medeiros Oficina,,SC,oficina/auto,,
Chapeamento Forster,,Rua Vereador Arthur Manoel Mariano - SC,oficina/auto,,
Márcio Oficina Mecânica,,SC,oficina/auto,,
Oficina do Italiano,,SC,oficina/auto,,
Centro Automotivo Pinheira,,SC,oficina/auto,,
Auto Elétrica Colzani,,SC,oficina/auto,,
Famicar,,SC,oficina/auto,,
Sérgio Pneus,,SC,oficina/auto,,
Penso Auto Elétrica,,SC,oficina/auto,,
Mecanica Schisleicher,,SC,oficina/auto,,
Borracharia,,SC,oficina/auto,,
Palma Peças,,SC,oficina/auto,,
Mecanica Copini,,SC,oficina/auto,,
Mecânica Bienert,,SC,oficina/auto,,
Eletro Moraes,,SC,oficina/auto,,
Mecânica Pointer,,SC,oficina/auto,,
Auto Mecânica Renato Gueths,,"Rua dos Caçadores, 1318 - SC",oficina/auto,,+55 47 3328-0036
Auto Mecânica Pitti,,Rua Bom Retiro - SC,oficina/auto,,
Mecânica Serpa,,SC,oficina/auto,,
Oficina Mecânica Socorro,,"Avenida Manoel Simão, 565 - SC",oficina/auto,,
Admol,,SC,oficina/auto,,
Retífica Irineu,,SC,oficina/auto,,
AMW Mecânica Automotiva,,SC,oficina/auto,,
RM Soluções Automotivas,,"Rua Rio Negrinho, 536 - SC",oficina/auto,,
Clóvis Automecânica,,SC,oficina/auto,,
Scala Mecânica GVN,,SC,oficina/auto,,
Auto Elétrica São Cristóvão,,SC,oficina/auto,,"+55 47 3387-3022;+55 47 99235-0225"
Auto Center Eletromecânica Ar Condicionado,,SC,oficina/auto,,
Zero Grau,,"Rodovia João Gualberto Soares, 1977 - SC",oficina/auto,,+55 48 3369-9543
Fit Stop Auto Center,,SC,oficina/auto,,
Ingleses Auto Center,,"Rodovia Armando Calil Bulos, 5346 - SC",oficina/auto,,
Oficina Dinâmica,,SC,oficina/auto,,
Auto Elétrica Bragagnolo,,SC,oficina/auto,,+55 47 3323-3237
Oficina Mecânica FM,,SC,oficina/auto,,+55 47 3052-4846
Guinchos Knopf,,SC,oficina/auto,,+55 47 3387-2972
Mecânica Ernesto,,SC,oficina/auto,,"+55 47 3338-0259;+55 47 3338-1307"
Auto Mecânica JJ,,SC,oficina/auto,,+55 47 3338-2379
Mecânica Vargas,,SC,oficina/auto,,
Auto Mecânica Erbs,,SC,oficina/auto,,+55 47 3327-5996
Kurth Auto Center,,SC,oficina/auto,,"+55 47 3488-5621;+55 47 99996-5621"
Huller Elétrica Automotiva,,SC,oficina/auto,,+55 47 3330-3067
Scap Car,,SC,oficina/auto,,+55 47 3042-0061
Auto Kamchen,,SC,oficina/auto,,+55 47 3387-0440
RJ oficina mecânica,,SC,oficina/auto,,
Autoelétrica Celeiro,,SC,oficina/auto,,
Hampton Pintura Automotiva,,SC,pintura,,
Jean Mecânica Automotiva,,SC,oficina/auto,,+55 47 3322-0600
Auto Elétrica Grillo,,SC,oficina/auto,,+55 47 3237-1074
Oficina Castanheiro,,SC,oficina/auto,,+55 47 3273-7890
Reconcar,,SC,oficina/auto,,+55 47 3334-1249
Cobra Som Automotivo,,SC,oficina/auto,,
Centro Automotivo Wunderwald,,SC,oficina/auto,,
Auto Mecânica Maas,,SC,oficina/auto,,
Auto Mecânica Ivocar,,SC,oficina/auto,,+55 47 3288-7939
Kurth Auto Mecânica,,SC,oficina/auto,,+55 47 99996-5621
Mecânica Colombo,,SC,oficina/auto,,
Renova Car,,SC,oficina/auto,,
Mecânica Cristiano,,SC,oficina/auto,,
Reauto Multimarcas,,SC,oficina/auto,,
Batista Chapeação,,SC,oficina/auto,,
GT Mecânica,,SC,oficina/auto,,
Auto Elétrica Selmo,,SC,oficina/auto,,+55 47 3387-2343
Radiadores Itoupava,,SC,oficina/auto,,"+55 47 3338-0304;+55 47 3338-0350"
Artur Klug Mecânica Multimarcas,,SC,oficina/auto,,
Veracruz Mecânica,,SC,oficina/auto,,+55 47 3323-1922
Motor Power Mecânica e Preparação,,SC,oficina/auto,,+55 47 99942-2981
Auto Mecânica Nova República,,SC,oficina/auto,,"+55 47 99980-2657;+55 47 3340-0760"
Refricar Ar Automotivo,,SC,oficina/auto,,+55 47 3322-2896
Vila Auto Care,,SC,oficina/auto,,+55 47 3019-0808
Auto Mecânica Arno,,SC,oficina/auto,,+55 47 3327-7271
Mecânica Pein,,SC,oficina/auto,,
Auto Elétrica Abatti,,"Avenida Comendador Selvino Caramori, 1420 - SC",oficina/auto,,+55 49 3567-4251
Autotec Oficina Mecânica,,SC,oficina/auto,,+55 47 3234-4611
Chefe do Óleo,,SC,oficina/auto,,+55 47 3339-4060
Mecânica Marchi,,SC,oficina/auto,,+55 47 3306-6885
Elétrica Mecânica Andrade,,SC,oficina/auto,,+55 47 98720-8962
Eletro Mecânica Nelson,,SC,oficina/auto,,+55 47 3338-1292
Auto Elétrica e Baterias D'Luz,,SC,oficina/auto,,"+55 47 3323-8223;+55 47 99178-9876"
Mecânica Barbosa,,SC,oficina/auto,,
Martelinho de Ouro Célio,,SC,martelinho,,+55 47 99221-9926
Boy Trevo,,SC,oficina/auto,,
Global Car Service,,SC,oficina/auto,,+55 47 3304-7428
Boutique do Óleo,,SC,oficina/auto,,+55 47 3080-0405
Auto Peças Bicauto,,SC,oficina/auto,,+55 47 3387-2874
Mecânica Juliano,,SC,oficina/auto,,
Bruno Escapamentos,,"Rua 12 de Junho, 201 - SC",oficina/auto,,
JR Car Service,,SC,oficina/auto,,+55 47 3237-1777
Auto Elétrica Precisão,,SC,oficina/auto,,
Pickup Car,,SC,oficina/auto,,+55 47 98819-1648
ARV Gás,,SC,oficina/auto,,+55 47 3323-0044
Jaime Pinturas Automotivas,,SC,pintura,,+55 47 3378-5181
Auto Mecânica Quatro Rodas,,SC,oficina/auto,,+55 47 3325-1698
Mecânica Renato,,SC,oficina/auto,,+55 47 3329-2261
Mecânica auto car,,SC,oficina/auto,,
Ganso,,SC,oficina/auto,,
Chapeação lede,,SC,oficina/auto,,
Latoaria e Pintura Rocha,,SC,pintura,,+55 47 99257-2985
Mbox Automotiva,,SC,oficina/auto,,+55 47 99276-7267
Auto Elétrica Oeste,,SC,oficina/auto,,+55 47 3232-0232
Alce mecânica,,SC,oficina/auto,,
Rodocenter,,SC,oficina/auto,,
Chapeação Dalai,,SC,oficina/auto,,
Teske Motors,,SC,oficina/auto,,+55 47 3387-0306
Mai Auto,,SC,oficina/auto,,
Mecânica BR,,SC,oficina/auto,,
Mecânica industrial,,SC,oficina/auto,,
Center Cura,,SC,oficina/auto,,
Auto Elétrica Pacheco,,SC,oficina/auto,,
Nene Auto Serviço,,SC,oficina/auto,,
TC Mecânica Automotiva,,"Rua Bahia, 6431 - SC",oficina/auto,,+55 47 3019-0299
Retífica de Motores Motorfort,,SC,oficina/auto,,
Motors by Pericles,,SC,oficina/auto,,+55 47 3327-2852
Mecânica União,,SC,oficina/auto,,+55 47 3323-1493
Bino Latoaria,,SC,oficina/auto,,
Mecânica Blu Salto,,SC,oficina/auto,,+55 47 3327-5698
Carlos,,SC,oficina/auto,,+55 48 3244-6620
Neno Car,,SC,oficina/auto,,
Carlos Lataria e Pintura,,SC,pintura,,
Herik's Auto Capa,,SC,oficina/auto,,+55 47 99287-5629
Átrio Mecânica Automotiva,,SC,oficina/auto,,
Tecno Auto Ar,,SC,oficina/auto,,+55 47 3323-4259
Perfect Car,,SC,oficina/auto,,+55 47 3323-4259
Oficina Henrique,,SC,oficina/auto,,+55 47 3325-2012
Tojo Car,,SC,oficina/auto,,+55 47 3326-1430
Auto Elétrica Sabugo,,SC,oficina/auto,,
Chapeação e Pintura Luiz,,SC,pintura,,+55 51 9 8625 4432
Shopping Car,,SC,oficina/auto,,
Eletro Oficina Jaraguá,,SC,oficina/auto,,+55 47 3275 3480
Auto Mecânica Inje Power Chip,,SC,oficina/auto,,+55 47 3275 3859
Demicar,,SC,oficina/auto,,+55 47 3371 5057
Formiga Car,,SC,oficina/auto,,+55 47 3275 0400
Ômega Som,,SC,oficina/auto,,+55 47 3371 8973
Chevro- Auto Mecânica Multimarcas,,SC,oficina/auto,,+55 47 3372 3936
Auto Center Grah,,SC,oficina/auto,,+55 47 3371 5354
Só portas,,SC,oficina/auto,,+55 47 3275 6655
Auto Eletrica Bridi,,SC,oficina/auto,,+55 47 3370-2103
Gemac Auto Center,,SC,oficina/auto,,+55 47 98436-0567
Tomaselli Oficina,,SC,oficina/auto,,+55 47 3370 9478
Troca de Óleo Premium,,SC,oficina/auto,,+55 47 3370 4911
Auto Elétrica São Luiz,,"Rua Valdir José Manfrini, 285 - SC",oficina/auto,,+55 47 3084-6004
Stalo,,SC,oficina/auto,,+55 47 3322-0040
Pool Car Auto Pintura,,SC,pintura,,+55 47 3336-3726
Tite Chapeação e Pintura,,SC,pintura,,
Bom Ar,,SC,oficina/auto,,
EletroMecânica A.G.R,,SC,oficina/auto,,
Mecânica APM,,SC,oficina/auto,,
Auto Elétrica Elicar,,SC,oficina/auto,,
Dú Som,,SC,oficina/auto,,
Guber Auto Center,,SC,oficina/auto,,
RB Mecânica Automotiva,,SC,oficina/auto,,+55 47 3323-3527
Kiasiauto,,SC,oficina/auto,,+55 47 3338-0576
Ferreira & Korte,,SC,oficina/auto,,+55 47 3288-4939
AMGI. Oficina de Implementos Agrícolas,,SC,oficina/auto,,
Maecânica Martoni,,"Rua Dom Bosco, 1360 - SC",oficina/auto,,
Auto Elétrica Nova,,SC,oficina/auto,,+55 47 3323-4360
Auto Mecânica Felipe,,SC,oficina/auto,,
RJ Automotiva,,SC,oficina/auto,,+55 47 3339-7180
Auto Mecânica Provensi,,SC,oficina/auto,,
Auto Mecânica RNC,,SC,oficina/auto,,
Auto Power,,SC,oficina/auto,,
Carneiro Auto Center,,SC,oficina/auto,,+55 47 3052-4109
Eletriar Auto Elétrica,,SC,oficina/auto,,+55 47 3338-6546
Alonso Oficina Mecânica,,SC,oficina/auto,,"+55 47 3285-7857;+55 47 99249-9846"
Mecânica Rodar,,SC,oficina/auto,,
JP Serviços Automotivos,,SC,oficina/auto,,
Auto Mecânica Piske,,SC,oficina/auto,,
Brais Reparação Automotiva,,Rua Guairacá - SC,oficina/auto,,
A3 Recuperadora,,SC,oficina/auto,,
Scholze Automecânica,,SC,oficina/auto,,
Auto Mecânica AD,,SC,oficina/auto,,
Ramos Car Service,,SC,oficina/auto,,+55 47 3330-0007
Diego Film,,SC,oficina/auto,,+55 47 3042-1404
Fabios Mecânica,,SC,oficina/auto,,+55 47 3212-6378
Eco Auto Car,,SC,oficina/auto,,
MC Auto Mecânica,,SC,oficina/auto,,+55 47 3339-6499
Retokcar,,SC,oficina/auto,,+55 47 3387-3512
Autoelétrica São Cristóvão,,SC,oficina/auto,,
Vidrocar Auto Vidros e Parabrisas,,"Rua João Zunino Neto, 186 - SC",oficina/auto,,
Chapeação Branbila,,SC,oficina/auto,,
Container Óleo,,Avenida Atílio Fontana - SC,oficina/auto,http://containeroleo.com.br/,+55 49 3340 0100
Dani's Car Chapeação,,SC,oficina/auto,,
Jeff Estética Automotiva,,SC,oficina/auto,,
Portinari,,"Rua Rudy Arnaldo Hintz, 1138 - SC",oficina/auto,,
R-Sul Centro Automotivo,,SC,oficina/auto,,
Mecânica Kleemann,,SC,oficina/auto,,
Falcão Escapamentos,,"Rua Santos Saraiva, 2206 - SC",oficina/auto,,
Carlinhos Transmissão Automática,,100 - SC,oficina/auto,,
Auto Mecânica Elisbão,,SC,oficina/auto,,+55 47 3395-1852
Paulista,,SC,oficina/auto,,
H Lida Multimarcas,,SC,oficina/auto,,
Rancho do Óleo,,"Avenida Adolfo Konder, 2190 - SC",oficina/auto,,
Casagrande,,SC,oficina/auto,,
Celito Auto Elétrica,,"Rua Bernardo Gesing, 50 - SC",oficina/auto,,
Mecânica Canci,,SC,oficina/auto,,
Garagem da Prefeitura,,SC,oficina/auto,,
Prime Mecânica,,SC,oficina/auto,,
Auto Mecânica Bonatti,,"Rua Bahia, 374 - SC",oficina/auto,,+55 47 3382-1373
AllanCar Mecânica,,"Rua Joaquim Francisco de Paula, 965 - SC",oficina/auto,,+55 47 3084-5555
CarPro,,SC,oficina/auto,,
JLR,,SC,oficina/auto,,
Mecânica e Elétrica Dois Amigos,,SC,oficina/auto,,
Keepcar,,SC,oficina/auto,,
LN Parabrisas,,SC,oficina/auto,,
Mecânica Kitz,,SC,oficina/auto,,+55 47 3633-5799
Stop Car,,SC,oficina/auto,,
Marcos Estética Automotiva,,SC,oficina/auto,,
Auto Elétrica Rogério,,SC,oficina/auto,,
Mecânica Levamar,,Rua Santa Cruz - SC,oficina/auto,,+55 49 3636 1004
Magrão,,SC,oficina/auto,,
Auto elétrica VOSS,,SC,oficina/auto,,"+55 47 99177-6215;+55 47 3333-3396"
KM Center,,SC,oficina/auto,,+55 47 3017-8920
Polaco Oil Center,,SC,oficina/auto,,+55 47 3275-4270
Luan Auto Center,,SC,oficina/auto,,
Auto Center Mantova,,Rua Humberto Mazzolli - SC,oficina/auto,,+55 47 98434-1715
Rodrigo Auto Mecânica,,SC,oficina/auto,,
Oficina do Zico,,SC,oficina/auto,,+55 47 3653-1606
Jonas Oficina Mecânica,,SC,oficina/auto,,
2M Eletromecânica,,SC,oficina/auto,,+55 47 98908-9420
O Ponto do Óleo,,"Rua Joinville, 329 Frente - SC",oficina/auto,,
Cris Auto Center,,SC,oficina/auto,,
Agendacar Auto Motors,,"Rua Lino Philippe, 108 Térreo - SC",oficina/auto,,
Trucar,,SC,oficina/auto,,
Fontana Chapeação,,SC,oficina/auto,,+55 47 99293-6033
DL Auto Mecânica,,SC,oficina/auto,,+55 47 99248-4631
Mecânica Della Justina,,SC,oficina/auto,,
Edu Oficina Mecânica,,SC,oficina/auto,,
Bracht Auto Center,,"Rua Padre Luiz Froener, 81 - SC",oficina/auto,,+55 49 3636 1465
Bracht Chapeação e Pintura,,Rua Santa Cruz - SC,pintura,,
Mecânica do Maia,,Estrada Geral Fortaleza - SC,oficina/auto,,+55 49 3195 1150
Oficina D'rios,,SC,oficina/auto,,
Titon Auto Center,,SC,oficina/auto,,
Dunalub Autocenter,,SC,oficina/auto,,
Tecnocar Oficina Mecânica,,SC,oficina/auto,,
Indaial Escapamentos,,SC,oficina/auto,,
DJ Car,,SC,oficina/auto,,
Limberger Auto Peças,,SC,oficina/auto,,
NH Centro Automotivo,,"Rua Rio Grande, 81 - SC",oficina/auto,,+55 49 99927 9369
Mecânica Welchen,,Rua São Cristóvão - SC,oficina/auto,,
Autotec Garage,,SC,oficina/auto,,
Moratelli,,SC,oficina/auto,,
Street Car Estética Automotiva,,"Rua Comandante Moreira, 1060 - SC",oficina/auto,,+55 48 991726943
Mecânica Gasparetto,,SC,oficina/auto,,
Auto Elétrica Dalmaso,,SC,oficina/auto,,+55 47 99682-1012
Mecânica SF,,SC,oficina/auto,,
Werle Chapeação e Pintura,,"Rua Itu, 35 - SC",pintura,,+55 49 99926 9168
Gebien Custom,,SC,oficina/auto,https://gebien.com.br,+55 47 3327-0759
Banana Film,,SC,oficina/auto,,+55 47 3327-4247
Mecânica França,,"Avenida Leopoldo Sander, 1651 - SC",oficina/auto,,
Zip Gás,,SC,oficina/auto,,
Mecânica Zanella,,SC,oficina/auto,,"+55 47 99162-8092;+55 47 99720-5134"
Mecânica KR,,SC,oficina/auto,,
2M Pintura Automotiva,,SC,pintura,,+55 47 99191-8026
Mecânica Dirceu,,SC,oficina/auto,,
Auto Mecânica Jair,,SC,oficina/auto,,+55 47 3330-4086
Cunhados Truck Center,,SC,oficina/auto,,+55 47 3248-5588
Oficina Mecânica Alto Giro,,SC,oficina/auto,,
Auto Elétrica Maneca,,SC,oficina/auto,,+55 47 99172-6907
Cirilus Car Latoaria e Pintura,,SC,pintura,,+55 47 99635-1908
Bravu's,,SC,oficina/auto,,+55 47 99154-0587
Auto Elétrica Caçadores,,SC,oficina/auto,,+55 47 98868-0985
Marchi Serviços Automotivos,,SC,oficina/auto,,+55 47 3306-6885
Auto Mecânica LL,,Rua Ernesto Lessmann - SC,oficina/auto,,+55 47 3271-4322
Mecânica Rasch,,Rua Santa Cruz - SC,oficina/auto,,
Oficina Ademir Hornburg,,SC,oficina/auto,,+55 47 3387-0791
Souzzacar,,SC,oficina/auto,,+55 47 3324-4860
Mecânica Dalla Vecchia,,SC,oficina/auto,,+55 49 3623 1128
Auto Mecânica Alves,,SC,oficina/auto,,+55 47 98832-8284
Auto Elétrica Domasa,,SC,oficina/auto,,+55 47 3330-0976
JetOil,,Rua Santa Catarina - SC,oficina/auto,,
Mecânica Bons Amigos,,SC,oficina/auto,,+55 47 3323-3450
Torken Group,,SC,oficina/auto,,
Auto Elétrica Bonatti,,SC,oficina/auto,,+55 47 2204-2558
Mago do Frio,,SC,oficina/auto,,
Alfredinho Auto Mecânica,,SC,oficina/auto,,
DJ Auto Mecânica,,SC,oficina/auto,,+55 47 3306-2188
Chapeação,,"Rua Mário Bordignon, 183 - SC",oficina/auto,,
Molas Ararangua,,Alameda Ascendino Moraes de Sá - SC,oficina/auto,,
Vale Auto Pintura,,SC,pintura,,
Mecânica Borges,,Rua Hipólito Henrique Pfleger - SC,oficina/auto,,+55 48 3066 1211
Área 47 Pintura Automotiva,,SC,pintura,,+55 47 98445-5911
Mecânica do Barba,,SC,oficina/auto,,
Abreu Baterias,,Rua Santana - SC,oficina/auto,,+55 48 3245 2897
Auto Car Mecânica Multimarcas,,SC,oficina/auto,,
Pintura de Veículos Luli,,SC,pintura,,
DuSom Automotivo,,Rua Eliane Mota - SC,oficina/auto,,+55 48 3246 1697
Auto Mecânica Silva,,SC,oficina/auto,,+55 47 3052-4472
FG Serviços Automotivos,,SC,oficina/auto,,
Liberté Auto Center,,SC,oficina/auto,,
Armazém do Óleo,,Rua Santos Saraiva - SC,oficina/auto,,
Stetcar Auto Som,,"Rua Roberto Ziemann, 2940 - SC",oficina/auto,,+55 47 3373-2095
Original Lanternagem e Pintura,,SC,funilaria,,+55 47 3325-2744
Auto Elétrica JMS,,SC,oficina/auto,,+55 47 99212-6961
Beto Latoaria,,SC,oficina/auto,,+55 47 3232-1001
Rota 66 Som,,SC,oficina/auto,,
Caibi Inspeçōes,,SC,oficina/auto,,
DL Autocenter,,SC,oficina/auto,,
Auto Elétrica Ewald,,SC,oficina/auto,,+55 47 93381-5666
Pista Car,,SC,oficina/auto,,
Mecânica Maneca,,SC,oficina/auto,,+55 47 3423-6806
Ismael Auto Center,,SC,oficina/auto,,
JP Pneus,,SC,oficina/auto,,
Auto Mecânica Pimenta,,SC,oficina/auto,,
Tecnauto,,SC,oficina/auto,,
